inst,chuffed_01_compact.eprime,chuffed_02_compact.eprime,chuffed_05_nochAllLevels_2.eprime,chuffed_06_chPrunedLevels.eprime,cplex_01_compact.eprime,cplex_02_compact.eprime,cplex_05_nochAllLevels_2.eprime,cplex_06_chPrunedLevels.eprime,kissat_01_compact.eprime,kissat_02_compact.eprime,kissat_05_nochAllLevels_2.eprime,kissat_06_chPrunedLevels.eprime,or-tools-1_01_compact.eprime,or-tools-1_02_compact.eprime,or-tools-1_05_nochAllLevels_2.eprime,or-tools-1_06_chPrunedLevels.eprime
params/generated/c28b092a8f728601da45adef533a20e9.param,41.64,4.33,65.4,43.85,3.19,36000,67.53,3.18,6.73,5.42,69.57,5.68,3.28,4.44,64.85,3.21
params/generated/bda2c9118004a4f49b43c1d56d23b8dd.param,64.38,2.49,19.85,56.83,1.85,36000,16.7,1.87,2.64,2.71,18.1,2.82,2.1,2.17,17.91,1.85
params/generated/33ee22ee78354fcd6547ae283d85422d.param,12.48,27.86,36000.0,14.19,13.79,36000,36000.0,14.88,27.01,41.38,36000.0,28.49,43.04,128.97,36000.0,39.57
params/generated/6549d86c3e82a1cc9ad6d047b8b7018d.param,64.16,1.96,16.75,66.28,1.8,36000,17.12,1.87,2.93,2.53,16.13,2.34,1.57,2.03,15.11,1.6
params/generated/7b01e73519f42cb521ac7f638a98a54e.param,12.94,30.75,36000.0,14.48,14.93,36000,36000.0,15.15,35.18,36000.0,36000.0,35.35,153.65,163.75,36000.0,152.12
params/generated/75e6d1a2dc312f28134caf22cd9cb2fd.param,15.99,2.26,15.31,17.48,1.88,36000,13.8,1.93,3.05,3.03,15.43,3.3,1.87,2.58,13.54,1.73
params/generated/002f225b32b951af0b14c29d93ff9348.param,13.89,36.01,36000.0,14.6,17.36,36000,36000.0,15.49,41.0,50.26,36000.0,42.74,22.94,48.4,36000.0,22.82
params/generated/372e7042873290beb9dd5ba68aeee54c.param,12.77,26.74,36000.0,15.32,36000.0,36000,36000.0,36000.0,87.28,83.06,36000.0,79.52,2825.75,3577.24,36000.0,2947.39
params/generated/c1e1da9d40ee26474fa304ddc47550f8.param,95.05,3.29,44.82,95.8,2.4,36000,41.28,2.29,3.44,3.63,44.08,3.43,2.33,36000.0,43.76,2.2
params/generated/a11f26dc8962c64571fa3a5a0fb2392a.param,11.59,28.62,36000.0,13.37,11.27,36000,36000.0,12.38,36000.0,36.6,36000.0,26.14,34.72,57.17,36000.0,29.47
params/generated/ac9c16f90e0c06573b166a7c7a40e0f5.param,15.4,30.71,36000.0,14.01,36000.0,36000,36000.0,36000.0,91.92,36000.0,36000.0,94.47,1717.72,3604.3,36000.0,1950.56
params/generated/5e71ca9dcada5f50a027084153fc81ca.param,18.96,42.18,36000.0,18.87,16.99,36000,36000.0,18.64,45.1,65.04,36000.0,43.47,38.43,92.75,36000.0,43.28
params/generated/2ad4f3103b70a80213c494b5cc16cdac.param,100.05,7.02,12.88,97.76,1.53,36000,11.9,1.52,1.7,1.84,12.36,1.64,1.25,2.22,12.8,1.21
params/generated/48ff78f16705ff8a954db2ff902f7178.param,12.81,24.44,36000.0,13.82,13.08,36000,36000.0,13.24,21.76,33.28,36000.0,22.44,23.75,1401.07,36000.0,21.3
params/generated/2fc3f8b539cc42d59c0b3c87beb4e28b.param,13.43,35.34,36000.0,14.3,15.31,36000,36000.0,15.62,36000.0,51.53,36000.0,36000.0,56.97,311.34,36000.0,56.62
params/generated/19f741e2175a2991d890061825e9082a.param,34.14,44.35,36000.0,38.19,36000.0,36000,36000.0,36000.0,36.21,115.03,36000.0,36.34,126.13,44.17,36000.0,103.99
params/generated/485757fa575356f1e709161df328ed4e.param,15.2,29.57,36000.0,16.82,15.92,36000,36000.0,16.09,35.84,43.36,36000.0,31.33,49.45,62.35,36000.0,47.13
params/generated/4e569a061dd72a82952c573c6f8bba6a.param,15.74,32.21,36000.0,15.81,15.85,36000,36000.0,15.22,40.64,44.32,36000.0,36000.0,23.86,401.57,36000.0,22.66
params/generated/c1bb9b72eadc72591cd390d8c34415d8.param,12.88,30.59,36000.0,13.4,14.71,36000,36000.0,14.13,27.12,40.11,36000.0,26.77,31.04,49.96,36000.0,31.91
params/generated/7646c1193df03ea8572039761e619040.param,24.06,4.8,70.38,27.33,2.99,36000,68.05,3.05,5.38,5.43,69.89,5.2,3.08,4.36,69.18,3.25
params/generated/f08e7f40956f35f277515fcf7fcee837.param,61.75,2.3,13.66,60.66,1.98,36000,13.1,1.83,2.55,2.71,14.31,3.03,1.65,2.21,14.66,1.82
params/generated/bf192aea874536dc1c3430fbf0513fd2.param,32.07,61.69,36000.0,31.46,36000.0,36000,36000.0,36000.0,47.33,72.14,36000.0,47.23,82.0,56.54,36000.0,52.09
params/generated/185639e58c9d423a7cfb3587befb20fd.param,14.14,2.74,22.3,12.05,2.42,36000,22.16,2.09,36000.0,3.67,23.56,3.07,2.3,2.93,22.12,1.94
params/generated/d5a34d293260280924dfa30bc1e66b46.param,21.34,3.33,41.49,19.37,2.47,36000,40.88,2.22,2.98,4.5,41.58,2.72,2.0,3.33,42.58,1.96
params/generated/084079dc8970266397120de68525644d.param,192.71,29.09,36000.0,207.23,16.62,36000,36000.0,16.3,28.45,36000.0,36000.0,30.15,77.11,3605.78,36000.0,87.54
params/generated/b87e7056c4aec228fb4af316f80f2d3f.param,255.79,13.68,14.96,240.44,1.59,36000,15.32,1.6,1.7,2.02,15.25,1.8,1.3,3.38,14.83,1.44
params/generated/1bd62b20e00ab07b38322879fb71929a.param,17.52,33.97,36000.0,15.35,15.05,36000,36000.0,16.84,32.12,44.37,36000.0,30.76,21.98,57.23,36000.0,22.3
params/generated/47e45b663e8a6248419517e110910b4e.param,15.83,40.14,36000.0,15.68,15.3,36000,36000.0,16.29,35.1,57.42,36000.0,36000.0,552.65,167.29,36000.0,535.68
params/generated/555f2ca349e310891fc83557fb66a151.param,192.37,60.04,36000.0,200.55,14.78,36000,36000.0,15.67,33.92,43.57,36000.0,28.33,144.14,3590.65,36000.0,146.68
params/generated/d1ac205d5835c6a46e002588086ea7d3.param,15.08,35.59,36000.0,16.58,15.35,36000,36000.0,16.08,44.68,36000.0,36000.0,36000.0,61.06,78.53,36000.0,56.69
params/generated/518d4216cf5e5b05f013076fe42ba291.param,13.94,29.71,36000.0,14.24,36000.0,36000,36000.0,36000.0,77.21,90.53,36000.0,77.56,1093.52,2080.82,36000.0,1104.13
params/generated/8924d76839a3fc8039c6f353be7435e2.param,18.52,30.86,36000.0,21.67,36000.0,36000,36000.0,15.91,39.58,56.28,36000.0,36000.0,384.41,3631.17,36000.0,430.8
params/generated/5ac95e7cf3380caabe6547a5652def85.param,60.71,3.29,36.81,61.22,2.5,36000,36.44,2.68,3.03,3.93,38.58,3.02,2.24,3.1,37.16,2.17
params/generated/e63a7f77e7b922a32fd69af576c463c1.param,36.66,2.92,15.31,35.98,1.82,36000,15.93,1.73,1.63,2.06,14.43,1.64,1.48,2.36,16.29,1.57
params/generated/86ff7a7bd9d96d7ff2d533c611b00e33.param,92.15,3.75,35.88,99.19,2.53,36000,34.34,2.23,2.64,3.04,35.72,2.46,2.04,2.6,35.16,2.06
params/generated/c5cddc050b5508cc585c4815ddb8c529.param,140.86,3.22,49.2,165.95,2.36,36000,42.16,2.43,2.97,3.49,43.74,2.79,2.36,3.28,44.28,2.31
params/generated/88e16f1447724722be52fea9ac81ea19.param,13.66,24.34,36000.0,12.3,11.69,36000,36000.0,12.35,36000.0,36.33,36000.0,27.67,18.08,46.55,36000.0,18.24
params/generated/d9c5190cb2b99dba9ac175d136db0723.param,18.81,30.0,36000.0,20.74,36000.0,36000,36000.0,36000.0,95.27,105.47,36000.0,98.69,2294.26,3577.48,36000.0,2486.5
params/generated/b59fb1d82d51ed7301f88534f7275846.param,13.08,27.24,36000.0,14.31,36000.0,36000,36000.0,36000.0,87.69,107.75,36000.0,90.29,2463.13,3299.51,36000.0,2475.99
params/generated/c6bca294d3a5320eec0f63877ed2d25c.param,145.51,4.36,47.52,152.23,2.89,36000,46.09,2.73,4.58,4.62,47.49,3.96,2.86,4.19,47.53,2.81
params/generated/2255cb8874d96020146bd83624494c22.param,133.51,4.31,66.91,137.22,2.66,36000,69.2,2.73,3.26,4.46,68.41,3.32,2.72,4.0,69.09,2.43
params/generated/744ea5be3425997ee357ba5d65cf6a53.param,49.5,3.32,39.4,46.48,2.65,36000,38.63,2.48,3.84,4.12,41.42,5.08,2.59,3.34,39.92,2.35
params/generated/251ce62cafa0282dce2af191b2af2ffc.param,12.82,22.55,36000.0,12.31,36000.0,36000,36000.0,36000.0,62.4,74.67,36000.0,64.75,1430.38,260.59,36000.0,1679.66
params/generated/2eb980f2b8c8550425b253efc0d4a2ed.param,108.47,1.91,15.62,101.15,1.69,36000,16.67,1.74,1.83,2.03,17.97,1.64,1.41,1.87,16.94,1.4
params/generated/44a923cfd7a5cb5dadc2f75ec622e7d1.param,14.07,27.62,36000.0,13.82,14.67,36000,36000.0,14.9,32.22,41.34,36000.0,34.98,32.44,51.56,36000.0,33.18
params/generated/0d4777094e56e04c5a890a784ec09ffb.param,169.88,438.33,36000.0,182.85,15.58,36000,36000.0,12.49,24.22,39.33,36000.0,27.69,58.36,3608.58,36000.0,59.61
params/generated/f8cd09004e23892cf6ae2dd0ce3769c3.param,16.75,36.05,36000.0,17.04,36000.0,36000,36000.0,36000.0,122.96,145.1,36000.0,120.09,2614.14,3580.46,36000.0,2628.82
params/generated/250ca8e96a5998c884bd44778841b715.param,17.68,41.38,36000.0,14.88,17.82,36000,36000.0,16.52,44.15,56.0,36000.0,41.2,34.9,71.09,36000.0,37.16
params/generated/0f442a7a6be41ac52daa94d98848b967.param,20.62,14.16,78.92,23.42,2.79,36000,76.28,3.04,4.1,5.43,70.25,3.98,2.56,3.75,77.49,3.13
params/generated/8916e5a4bb7a7e11eee5ea3354504f75.param,35.57,13.1,68.8,42.12,2.59,36000,66.76,2.57,4.09,4.55,70.19,4.45,2.48,4.59,69.32,2.69
params/generated/53b720ecb24ebc87e64e74057f13fe33.param,8.35,2.21,23.46,8.77,1.83,36000,21.29,1.88,2.83,2.75,22.43,2.72,2.11,2.36,20.99,1.71
params/generated/d5aafb6163a725c3074d9828bb1de065.param,20.45,29.06,36000.0,18.85,36000.0,36000,36000.0,36000.0,87.88,105.8,36000.0,96.36,3604.87,3577.73,36000.0,3573.79
params/generated/d13d390169cbd5e80c474a7542a7a7ce.param,18.36,26.41,36000.0,18.17,36000.0,36000,36000.0,36000.0,23.1,31.71,36000.0,23.21,29.38,64.98,36000.0,29.9
params/generated/34877f37a9bfea86a8acb4181dcf40ec.param,81.33,19.53,45.04,72.56,2.57,36000,43.9,2.6,4.05,36000.0,52.77,4.48,2.56,3.92,46.78,2.84
params/generated/c62ddcd6619bda798256df0a56174007.param,16.28,35.4,36000.0,13.53,16.6,36000,36000.0,15.33,32.19,48.68,36000.0,36.9,58.61,65.22,36000.0,54.94
params/generated/1c4c336e67c1e59a8d188e26914e0cbc.param,62.68,4.48,11.33,58.52,1.4,36000,13.19,1.64,1.85,2.03,12.78,1.67,1.15,1.93,14.36,1.36
params/generated/1c0831c48342c395678cae4af443758e.param,40.49,3.02,33.65,48.05,3.02,36000,29.6,2.68,4.63,4.13,31.53,4.71,2.87,3.46,28.79,2.6
params/generated/02f2bf3309fd6649768b7464575a76ac.param,16.04,31.7,36000.0,13.81,17.11,36000,36000.0,15.77,35.17,44.43,36000.0,39.07,31.47,59.14,36000.0,31.88
params/generated/41e68d80a65930581b8b547a0a2c7950.param,16.74,28.63,36000.0,15.22,36000.0,36000,36000.0,36000.0,107.47,128.77,36000.0,110.88,3464.47,788.21,36000.0,3479.43
params/generated/08419633c519c298ce95941f22131ac3.param,226.78,13.74,14.76,224.04,1.66,36000,14.82,1.66,1.72,1.93,14.99,1.64,1.38,3.27,15.2,1.63
params/generated/146c5a8b5d1ef52cee47a635767707d9.param,18.31,5.07,68.72,21.0,3.67,36000,69.95,3.46,6.0,6.72,79.22,5.78,3.46,4.38,72.19,3.22
params/generated/a0b5ff02f315e426b7387b8ab2fda319.param,14.97,32.9,36000.0,16.86,17.64,36000,36000.0,16.72,32.23,49.26,36000.0,37.11,41.96,83.26,36000.0,38.56
params/generated/985645f093811e0679a1c7cd6198286d.param,33.26,11.48,42.84,32.41,2.66,36000,40.78,2.58,4.77,4.29,48.56,4.46,2.66,3.54,39.69,2.85
params/generated/f24cbc7a58a1aa0e3429fee2ad3c305f.param,36000.0,36000.0,36000.0,36000.0,15.45,36000,36000.0,17.86,57.99,36000.0,36000.0,49.87,2478.19,3597.8,36000.0,2515.08
params/generated/d87e0fb1be8aaa8d897bab574078cbe1.param,16.68,43.79,36000.0,17.31,19.45,36000,36000.0,21.83,53.23,36000.0,36000.0,49.73,53.24,36000.0,36000.0,60.0
params/generated/11e5c89cd1d4a312b5c330441ec94eed.param,36000.0,66.45,36000.0,36000.0,36000.0,36000,36000.0,12.68,36.18,36000.0,36000.0,34.48,3594.84,3579.8,36000.0,3598.5
